iter	Passed	Remaining
0	2	210
1	3	155
2	4	130
3	4	118
4	5	110
5	7	120
6	10	132
7	13	159
8	14	149
9	16	145
10	18	147
11	20	149
12	22	152
13	24	152
14	26	150
15	28	149
16	29	144
17	30	138
18	31	133
19	32	128
20	32	123
21	33	119
22	34	115
23	35	112
24	36	108
25	37	107
26	39	106
27	41	106
28	43	105
29	45	106
30	47	106
31	49	105
32	51	104
33	53	104
34	55	102
35	57	101
36	59	100
37	61	99
38	62	98
39	64	96
40	66	95
41	68	94
42	70	94
43	72	92
44	74	91
45	77	90
46	79	89
47	81	88
48	83	87
49	85	85
50	87	83
51	87	81
52	89	79
53	91	77
54	93	76
55	95	74
56	97	73
57	99	71
58	100	70
59	102	68
60	104	66
61	106	65
62	108	63
63	111	62
64	113	61
65	117	60
66	120	59
67	122	57
68	124	55
69	126	54
70	128	52
71	131	51
72	133	49
73	135	47
74	138	46
75	140	44
76	142	42
77	144	40
78	144	38
79	145	36
80	145	34
81	146	32
82	148	30
83	151	28
84	154	27
85	156	25
86	158	23
87	160	21
88	162	20
89	164	18
90	167	16
91	170	14
92	172	12
93	174	11
94	177	9
95	179	7
96	181	5
97	184	3
98	188	1
99	191	0
